,Corruption Rank (2014),Country,Corruption 2014,Population,GDP (millions),GDP/Capita
0,1.0,Denmark,92.0,5699220.0,250676.0,43984.2645134
1,2.0,New Zealand,91.0,4634930.0,160801.0,34693.2963389
2,3.0,Finland,89.0,5493115.0,221653.0,40351.0576422
3,4.0,Sweden,87.0,9828655.0,450517.0,45837.0957166
4,5.0,Norway,86.0,5205434.0,346337.0,66533.7414709
5,5.0,Switzerland,86.0,8279700.0,473331.0,57167.6510018
6,7.0,Singapore,84.0,5535000.0,454346.0,82085.9981933
7,8.0,Netherlands,83.0,16930200.0,808796.0,47772.3830788
8,9.0,Luxembourg,82.0,562958.0,53672.0,95339.2615435
9,10.0,Canada,81.0,35851774.0,1595975.0,44515.9282774
10,11.0,Australia,80.0,23974200.0,1099771.0,45873.1052548
11,12.0,Germany,79.0,81197500.0,3748094.0,46160.2142923
12,12.0,Iceland,79.0,331310.0,14338.0,43276.6895053
13,14.0,United Kingdom,78.0,64800000.0,2569218.0,39648.4259259
14,15.0,Belgium,76.0,11280134.0,483331.0,42847.9838981
15,15.0,Japan,76.0,126890000.0,4767157.0,37569.2095516
16,17.0,Barbados,74.0,285000.0,4567.0,16024.5614035
18,17.0,Ireland,74.0,4635400.0,236398.0,50998.4035898
19,17.0,United States,74.0,322317000.0,17348075.0,53823.0220559
20,21.0,Chile,73.0,18006407.0,410853.0,22817.0450662
21,21.0,Uruguay,73.0,3415866.0,71675.0,20982.9659594
22,23.0,Austria,72.0,8623073.0,396806.0,46016.7738346
24,25.0,United Arab Emirates,70.0,9157000.0,617138.0,67395.2167741
25,26.0,Estonia,69.0,1313271.0,36784.0,28009.45121
26,26.0,France,69.0,66518000.0,2591170.0,38954.4183529
27,26.0,Qatar,69.0,2412483.0,306616.0,127095.610622
29,30.0,Bhutan,65.0,767520.0,5871.0,7649.31207004
30,31.0,Botswana,63.0,2070984.0,35870.0,17320.2690122
32,31.0,Portugal,63.0,10374822.0,281357.0,27119.2122621
34,35.0,Poland,61.0,38484000.0,959845.0,24941.4042199
35,35.0,Taiwan,61.0,23476640.0,1078792.0,45951.7205188
36,37.0,Israel,60.0,8419700.0,272112.0,32318.4911576
37,37.0,Spain,60.0,46439864.0,1572112.0,33852.6400508
